,close
1238,1921.61
1239,1921.02
1240,1920.81
1241,1921.97
1242,1922.84
1243,1922.84
1244,1922.6
1245,1922.75
1246,1922.81
1247,1923.56
1248,1924.63
1249,1924.99
1250,1924.65
1251,1924.82
1252,1923.0
1253,1923.62
1254,1925.01
1255,1924.2
1256,1924.8
1257,1926.99
1258,1928.68
1259,1925.67
1260,1926.21
1261,1926.21
1262,1926.9
1263,1927.21
1264,1928.19
1265,1929.19
1266,1928.4
1267,1927.61
1268,1926.37
1269,1927.6
1270,1928.2
1271,1926.83
1272,1926.18
1273,1925.51
1274,1924.25
1275,1921.9
1276,1923.59
1277,1925.0
1278,1924.99
1279,1925.41
1280,1925.43
1281,1925.94
1282,1925.79
1283,1925.61
1284,1925.94
1285,1925.75
1286,1930.26
1287,1930.8
1288,1931.68
1289,1930.53
1290,1929.8
1291,1925.33
1292,1927.57
1293,1927.39
1294,1927.2
1295,1927.99
1296,1926.21
1297,1925.3
1298,1927.27
1299,1926.61
1300,1926.81
1301,1927.41
1302,1926.48
1303,1925.6
1304,1926.41
1305,1927.79
1306,1928.07
1307,1928.0
1308,1927.8
1309,1927.8
1310,1927.2
1311,1924.33
1312,1926.29
1313,1925.4
1314,1926.1
1315,1926.8
1316,1927.05
1317,1927.12
1318,1926.2
1319,1926.35
1320,1926.63
1321,1925.4
1322,1925.88
1323,1925.2
1324,1924.44
1325,1926.4
1326,1926.81
1327,1924.87
1328,1926.6
1329,1925.16
1330,1921.04
1331,1920.4
1332,1920.79
1333,1921.99
1334,1922.08
1335,1922.83
1336,1923.0
1337,1924.0
1338,1924.45
1339,1924.01
1340,1924.48
1341,1927.25
1342,1927.75
1343,1926.74
1344,1927.4
1345,1929.47
1346,1930.18
1347,1930.3
1348,1931.71
1349,1931.0
1350,1929.35
1351,1928.69
1352,1928.49
1353,1929.16
1354,1929.1
1355,1929.51
1356,1930.49
1357,1931.24
1358,1930.61
1359,1931.0
1360,1930.13
1361,1928.64
1362,1927.73
1363,1929.16
1364,1928.01
1365,1928.9
1366,1929.09
1367,1930.0
1368,1931.4
1369,1930.97
1370,1929.19
1371,1929.51
1372,1928.55
1373,1928.55
1374,1929.22
1375,1928.44
1376,1929.54
1377,1929.84
1378,1929.91
1379,1931.09
1380,1930.94
1381,1931.4
1382,1931.89
1383,1931.98
1384,1931.81
1385,1932.25
1386,1932.3
1387,1934.17
1388,1934.73
1389,1934.94
1390,1934.63
1391,1934.65
1392,1933.14
1393,1933.26
1394,1933.31
1395,1933.62
1396,1933.7
1397,1932.01
1398,1931.42
1399,1932.8
1400,1932.21
1401,1934.0
1402,1934.76
1403,1934.0
1404,1934.57
1405,1934.57
1406,1934.53
1407,1934.63
1408,1934.41
1409,1935.17
1410,1935.59
1411,1935.2
1412,1935.2
1413,1936.6
1414,1935.81
1415,1936.4
1416,1938.4
1417,1938.71
1418,1938.71
1419,1939.2
1420,1937.0
1421,1937.28
1422,1936.8
1423,1936.01
1424,1935.06
1425,1934.61
1426,1934.92
1427,1934.01
1428,1933.85
1429,1933.61
1430,1933.45
1431,1933.0
1432,1932.2
1433,1932.27
1434,1932.4
1435,1932.4
1436,1932.16
1437,1932.14
1438,1933.47
1439,1933.6
1440,1933.72
1441,1930.78
1442,1931.2
1443,1931.0
1444,1931.01
1445,1930.78
1446,1931.21
1447,1930.61
1448,1930.61
1449,1930.6
1450,1931.39
1451,1932.72
1452,1932.6
1453,1932.71
1454,1932.01
1455,1931.2
1456,1931.21
1457,1931.29
1458,1931.29
1459,1931.8
1460,1931.8
1461,1931.41
1462,1930.6
1463,1933.08
1464,1935.03
1465,1936.16
1466,1935.6
1467,1935.6
1468,1935.79
1469,1935.87
1470,1936.4
1471,1937.68
1472,1940.57
1473,1941.99
1474,1939.4
1475,1937.68
1476,1933.98
1477,1933.12
1478,1934.79
1479,1933.91
1480,1936.16
1481,1936.01
1482,1936.2
1483,1935.1
1484,1934.26
1485,1933.09
1486,1932.38
1487,1932.27
1488,1933.0
1489,1932.61
1490,1934.47
1491,1935.0
1492,1934.02
1493,1934.19
1494,1933.8
1495,1933.25
1496,1931.65
1497,1932.39
1498,1932.2
1499,1932.96
1500,1934.78
1501,1933.05
1502,1934.0
1503,1934.19
1504,1935.32
1505,1933.8
1506,1935.19
1507,1936.31
1508,1934.48
1509,1936.18
1510,1936.53
1511,1936.67
1512,1935.41
1513,1929.59
1514,1932.25
1515,1933.94
1516,1933.29
1517,1932.61
1518,1931.77
1519,1933.24
1520,1933.01
1521,1933.4
1522,1934.6
1523,1934.59
1524,1935.14
1525,1933.81
1526,1934.8
1527,1936.65
1528,1938.32
1529,1939.0
1530,1939.39
1531,1938.59
1532,1938.8
1533,1938.19
1534,1937.41
1535,1937.59
1536,1936.8
1537,1937.12
1538,1939.75
1539,1940.78
1540,1940.96
1541,1941.79
1542,1942.04
1543,1942.4
1544,1942.3
1545,1938.07
1546,1938.21
1547,1936.9
1548,1936.95
1549,1938.0
1550,1936.95
1551,1936.25
1552,1936.2
1553,1935.6
1554,1935.0
1555,1935.0
1556,1933.4
1557,1933.17
1558,1934.09
1559,1933.33
1560,1933.33
1561,1934.23
1562,1933.81
1563,1934.81
1564,1932.8
1565,1932.34
1566,1930.65
1567,1927.68
1568,1928.67
1569,1930.0
1570,1930.81
1571,1932.47
1572,1932.58
1573,1932.57
1574,1931.8
1575,1929.4
1576,1930.0
1577,1926.65
1578,1928.91
1579,1926.81
1580,1925.87
1581,1927.5
1582,1926.59
1583,1925.12
1584,1926.0
1585,1927.0
1586,1927.04
1587,1927.46
1588,1927.4
1589,1927.81
1590,1928.77
1591,1928.9
1592,1928.01
1593,1929.3
1594,1928.14
1595,1928.19
1596,1928.77
1597,1929.2
1598,1928.66
1599,1928.21
1600,1928.41
1601,1929.34
1602,1928.99
1603,1929.15
1604,1928.2
1605,1928.59
1606,1928.39
1607,1928.78
1608,1930.04
1609,1929.88
1610,1929.6
1611,1928.59
1612,1929.32
1613,1928.59
1614,1928.8
1615,1928.6
1616,1928.57
1617,1928.57
1618,1928.21
1619,1928.31
1620,1929.26
1621,1927.66
1622,1927.6
1623,1925.8
1624,1925.37
1625,1925.66
1626,1922.64
1627,1924.38
1628,1926.56
1629,1927.6
1630,1926.51
1631,1925.6
1632,1925.4
1633,1925.79
1634,1925.61
1635,1925.21
1636,1925.6
1637,1924.82
1638,1925.18
1639,1925.22
1640,1925.2
1641,1924.58
1642,1923.88
1643,1923.99
1644,1924.59
1645,1924.99
1646,1925.2
1647,1925.58
1648,1925.8
1649,1925.41
1650,1925.57
1651,1927.13
1652,1927.02
1653,1925.79
1654,1925.4
1655,1924.07
1656,1923.68
1657,1923.34
1658,1923.51
1659,1924.6
1660,1925.39
1661,1925.01
1662,1925.38
1663,1925.2
1664,1924.54
1665,1924.13
1666,1922.49
1667,1921.61
1668,1922.24
1669,1921.8
1670,1921.99
1671,1921.63
1672,1921.42
1673,1921.32
1674,1921.1
1675,1920.91
1676,1920.79
1677,1920.69
1678,1920.39
1679,1920.27
1680,1920.5
1681,1920.35
1682,1919.6
1683,1919.01
1684,1920.2
1685,1921.0
1686,1921.2
1687,1921.81
1688,1921.78
1689,1921.05
1690,1920.01
1691,1919.6
1692,1919.79
1693,1919.0
